country,year,population,rates of suicide per 100k,suicides/100k pop,HDI for year,gdp_for_year ($),gdp_per_capita ($),average annual hours worked
Netherlands,2010,2479310,10.22215405,20.01,0.91,836389937229.00,53302,1421
Netherlands,2011,2459735,10.46147003,20.49,0.921,893757287202.00,56667,1422
Netherlands,2012,2436155,11.08620643,21.84,0.921,828946812397.00,52334,1413
Netherlands,2013,2410644,11.67331719,23.02,0.923,866680000367.00,54510,1418
Netherlands,2014,2410644,11.56639564,23.35,0.924,879635084125.00,55325,1429
Netherlands,2015,523197,11.66444608,24.66,0.926,757999453314.00,47206,1424
New Zealand,2000,270430,12.81588498,38.83,0.869,52622842840.00,14725,1836
New Zealand,2001,264130,14.11467899,34.83,0.873,53872425917.00,14968,1825
New Zealand,2002,263160,12.7623873,31.16,0.881,66627729311.00,18208,1826
New Zealand,2003,86840,13.91637306,31.09,0.884,88250885550.00,23663,1823
New Zealand,2004,89210,13.01771724,31.39,0.886,103904537815.00,27325,1830
New Zealand,2005,264490,13.35314656,32.52,0.888,114718721397.00,29803,1815
New Zealand,2006,305250,13.51767301,31.12,0.891,111608845081.00,28628,1795
New Zealand,2007,262570,12.55256705,30.47,0.894,137316087308.00,34892,1774
New Zealand,2008,263560,13.10335269,26.56,0.894,133279679483.00,33585,1761
New Zealand,2009,320230,12.76814348,29.35,0.898,121338622025.00,30259,1740
New Zealand,2010,591000,13.21671717,26.23,0.899,146583831538.00,36145,1755
New Zealand,2011,330920,12.0524342,29.01,0.902,168461998741.00,41184,1746
New Zealand,2012,331070,13.32242949,32.32,0.905,176192886551.00,42756,1734
New Zealand,2013,583390,12.42199929,24,0.907,190785204764.00,46198,1752
Norway,2000,276727,12.97886556,25.3,0.917,171315639983.00,41099,1455
Norway,2001,130190,13.02459276,29.96,0.916,174003247439.00,41281,1429
Norway,2002,130772,11.64081534,27.53,0.918,195418347153.00,46049,1414
Norway,2003,328978,11.74784537,21.28,0.924,228752436372.00,53533,1400.7
Norway,2004,132357,12.29672056,21.91,0.934,264357494659.00,61450,1420.5
Norway,2005,316562,12.29501012,23.06,0.932,308722079938.00,71215,1422.8
Norway,2006,134769,12.16805734,25.23,0.936,345424664369.00,79007,1419.8
Norway,2007,135701,10.97938615,22.84,0.938,401082621083.00,90797,1426
Norway,2008,136042,11.29226185,21.32,0.938,462554432624.00,103431,1429.5
Norway,2009,136204,12.65589053,26.43,0.938,386622457580.00,85394,1406.8
Norway,2010,136494,11.9575333,22.71,0.942,429130952709.00,93638,1415.3
Norway,2011,137152,12.87877156,26.25,0.943,498831558926.00,107430,1421.1
Norway,2012,138390,10.94211621,23.85,0.942,510229136227.00,108408,1419.7
Norway,2013,140291,11.62009017,22.1,0.946,523502127660.00,109804,1408.1
Norway,2014,143089,11.3523885,23.06,0.946,499338534779.00,103443,1426.9
Norway,2015,544268,12.0829612,21.86,0.948,386663139403.00,79187,1423.9
Poland,2000,5564703,16.12051043,42.14,0.785,171885598583.00,4744,1863
Poland,2001,5582959,16.13152524,43.53,0.791,190521263343.00,5249,1865
Poland,2002,5556985,16.30098446,42.42,0.799,198680637255.00,5466,1860
Poland,2003,5516698,16.05335347,42.54,0.804,217513049292.00,5983,1865
Poland,2004,5468902,16.69434577,42.95,0.802,255102252843.00,7014,1866
Poland,2005,5417528,16.62021758,43.34,0.808,306125173853.00,8417,1861
Poland,2006,5362507,15.97051543,41.21,0.814,344748646558.00,9485,1862
Poland,2007,5310215,14.55212703,35.12,0.819,429063549984.00,11816,1859
Poland,2008,5265522,15.66898845,39.07,0.824,533815789474.00,14721,1852
Poland,2009,5232406,17.88070596,44.78,0.828,439796160379.00,12141,1838
Poland,2010,3547737,17.64471211,45.69,0.835,479321460551.00,13304,1834
Poland,2011,3655347,16.9766712,43.2,0.839,528832185770.00,14686,1829
Poland,2012,3762189,17.68228456,45.4,0.836,500360816828.00,13894,1824
Poland,2013,3866967,17.2608617,45.38,0.85,524234322597.00,14552,1821
Poland,2014,3963821,16.45607567,40.52,0.842,545179584720.00,15119,1827
Poland,2015,4043381,15.0194359,37.69,0.855,477355617456.00,13228,1834
Portugal,2000,260379,5.379829847,40.33,0.785,118358489958.00,12152,1760
Portugal,2001,270471,7.75775735,48.8,0.79,121545880984.00,12391,1745
Portugal,2002,277989,12.27201437,67.63,0.792,134228697534.00,13614,1739
Portugal,2003,284603,11.68265739,69.22,0.796,164964195260.00,16671,1733
Portugal,2007,321263,10.19417607,62.88,0.797,240169336162.00,24003,1745
Portugal,2008,331536,10.34829283,59.72,0.8,262007590450.00,26121,1733
Portugal,2009,341119,10.19908819,59.22,0.803,243745748819.00,24254,1733
Portugal,2010,352383,10.91726048,66.12,0.81,238303443425.00,23673,1735
Portugal,2011,364718,10.10651592,51.82,0.814,244895101712.00,24337,1714
Portugal,2012,374103,10.72846261,59.61,0.817,216368178659.00,21573,1698
Portugal,2013,381802,10.53572562,53.17,0.822,226073492966.00,22641,1707
Portugal,2014,389841,12.2882823,62.59,0.826,229629822122.00,23091,1714
Republic of Korea,2000,346040,14.55555974,81.49,0.817,561633125840.00,12686,
Republic of Korea,2001,359104,15.45709304,91.34,0.824,533052076314.00,11922,
Republic of Korea,2002,374816,19.08887647,130.46,0.832,609020054512.00,13501,
Republic of Korea,2003,394465,23.97489188,170.86,0.839,680520724062.00,14971,
Republic of Korea,2004,417832,25.10268137,172.8,0.847,764880644711.00,16708,
Republic of Korea,2005,442349,26.02493974,176.33,0.855,898137194716.00,19460,
Republic of Korea,2006,466922,22.90279968,154.63,0.862,1011797457139.00,21753,
Republic of Korea,2007,497517,26.00492624,172.86,0.869,1122679154632.00,23982,
Republic of Korea,2008,534462,27.29835053,154.92,0.874,1002219052968.00,21278,2209
Republic of Korea,2009,578635,32.50737542,173.86,0.869,901934953365.00,19036,2160
Republic of Korea,2010,631853,32.685825,182.32,0.884,1094499338703.00,22994,2146
Republic of Korea,2011,688365,33.27753116,185.37,0.888,1202463682634.00,25157,2119
Republic of Korea,2012,745816,29.48502618,152.45,0.89,1222807284485.00,25464,2103
Republic of Korea,2013,806960,29.89954615,147.59,0.893,1305604981272.00,27060,2093
Republic of Korea,2014,875829,28.54377025,124.45,0.896,1411333926201.00,29120,2067
Republic of Korea,2015,944284,27.75737352,140.74,0.898,1382764027114.00,28410,2084
Russian Federation,2000,21378098,40.96719748,98.53,0.72,259708496267.00,1879,1982
Russian Federation,2001,21476420,41.41752109,99,0.727,306602673980.00,2229,1980
Russian Federation,2002,21320535,40.28379636,94.36,0.732,345110438692.00,2527,1982
Russian Federation,2003,1648684,37.54564995,90.8,0.74,430347770732.00,3141,1993
Russian Federation,2004,1776778,35.81775112,88.93,0.746,591016690743.00,4312,1993
Russian Federation,2005,1885942,33.63782535,84.79,0.752,764017107992.00,5611,1989
Russian Federation,2006,1966649,31.48256429,86.49,0.759,989930542279.00,7313,1998
Russian Federation,2007,2015773,30.53072882,82.35,0.767,1299705247686.00,9643,1999
Russian Federation,2008,2029226,28.43377621,84.37,0.774,1660844408500.00,12359,1997
Russian Federation,2009,2012787,27.89863087,76.21,0.771,1222643696992.00,9118,1974
Russian Federation,2010,2023458,24.73270002,74.43,0.78,1524916112079.00,11307,1976
Russian Federation,2011,2093449,23.03447154,70.94,0.789,2051661732060.00,15226,1979
Russian Federation,2012,2211989,22.01182545,67.18,0.798,2210256976945.00,16413,1982
Russian Federation,2013,2349484,21.29697588,65.93,0.804,2297128039058.00,17052,1980
Russian Federation,2014,2349484,19.70174406,67.97,0.807,2063662665172.00,15319,1985
Russian Federation,2015,2608590,18.56093723,58.23,0.813,1368400705491.00,9987,1978
Slovakia,2000,82153,14.26108506,42.6,0.764,29114875622.00,5696,1816
Slovakia,2001,81427,13.56794639,42.98,0.764,30703017450.00,6020,1801
Slovakia,2002,83551,14.03794827,61.04,0.771,35083608131.00,6869,1754
Slovakia,2003,769641,14.7243381,44.7,0.777,46731767494.00,9138,1698
Slovakia,2004,769488,13.20000547,36.78,0.785,57240535138.00,11177,1742
Slovakia,2005,88406,13.24375174,45.25,0.794,62697540107.00,12229,1769
Slovakia,2006,415422,0,0,0.803,70596729394.00,13763,1774
Slovakia,2007,408500,0,0,0.814,86304245825.00,16815,1791
Slovakia,2008,441896,11.50461927,29.87,0.822,100324627215.00,19530,1793
Slovakia,2009,93229,11.68864105,37.54,0.824,88945625174.00,17299,1780
Slovakia,2010,94140,12.25823021,35.05,0.829,89501012916.00,17387,1805
Slovakia,2012,96276,11.15905226,34.28,0.837,93413992956.00,18256,1789
Slovakia,2013,97542,12.02606141,39.98,0.842,98478349315.00,19226,1772
Slovakia,2014,99184,10.79988132,41.34,0.845,100948236941.00,19679,1760
Slovenia,2000,29760,31.16911205,120.97,0.825,20342201356.00,10783,1710.1
Slovenia,2001,31096,30.55755708,144.71,0.835,20875387068.00,10979,1695.9
Slovenia,2002,32799,28.3297414,106.71,0.843,23563576758.00,12362,1720.5
Slovenia,2003,34740,29.46127284,115.14,0.85,29697448108.00,15568,1723.8
Slovenia,2004,184906,26.83632254,64.36,0.857,34470227454.00,18067,1736.6
Slovenia,2005,39044,26.31004955,110.13,0.861,36346974008.00,19012,1696.6
Slovenia,2006,41789,27.57261919,114.86,0.869,39587732029.00,20634,1667.5
Slovenia,2007,44241,22.51817538,101.72,0.873,48114688201.00,24964,1654.9
Slovenia,2008,46547,20.99026731,88.08,0.878,55589849128.00,28599,1673.7
Slovenia,2009,48622,23.01706919,78.15,0.878,50244793832.00,25872,1678.8
Slovenia,2010,50887,21.28782059,96.29,0.882,48013606745.00,24689,1680.1
Slovenia,2011,53258,22.37008764,105.15,0.884,51290792018.00,26377,1663.2
Slovenia,2012,55583,22.61062247,107.95,0.877,46352802766.00,23820,1644.6
Slovenia,2013,57600,22.89203378,98.96,0.885,48116256926.00,24697,1662.4
Slovenia,2014,59850,19.87922856,85.21,0.887,49904928335.00,25569,1681.9
Slovenia,2015,62345,21.5897417,99.45,0.889,43072415017.00,22036,1687.9
Spain,2000,1085540,8.856994661,44.95,0.825,595402616547.00,15538,1752.8
Spain,2001,1126029,8.237435702,41.03,0.828,625975838926.00,16169,1762.5
Spain,2002,1171341,8.571295448,42.52,0.83,705145868624.00,17924,1764.6
Spain,2003,1219166,8.706414981,42.9,0.833,906853273138.00,22701,1755.9
Spain,2004,1269270,8.649805972,39.24,0.837,1069555500372.00,26372,1741.5
Spain,2005,1321048,8.250905397,38.45,0.844,1157276458152.00,28092,1725.6
Spain,2006,1374287,7.766298655,35.73,0.848,1264551499185.00,30246,1715.7
Spain,2007,1424885,7.671457246,37.62,0.853,1479341637011.00,34769,1703.5
Spain,2008,1470360,8.002410399,32.92,0.856,1635015380108.00,37848,1712.6
Spain,2009,1514292,7.884555574,34.14,0.858,1499099749931.00,34470,1719.7
Spain,2010,1554056,7.24389084,31.4,0.865,1431616749640.00,32839,1710.4
Spain,2011,1587724,7.286463485,32.37,0.87,1488067258325.00,34097,1715.5
Spain,2012,1655129,7.985313882,34.5,0.873,1336018949806.00,30146,1701.2
Spain,2013,1676659,8.756970332,31.61,0.875,1361854206549.00,30792,1693.5
Spain,2014,1677547,8.853870634,34.99,0.88,1376910811041.00,31171,1694.6
Spain,2015,1693221,8.156332174,33.84,0.885,1197789902774.00,27108,1699.5
Sweden,2000,303198,13.44986234,42.22,0.897,259802012617.00,30896,1500
Sweden,2001,305543,14.18361225,42.22,0.9,239917320967.00,28429,1478
Sweden,2002,306832,13.93838854,36.5,0.902,263926220333.00,31175,1457
Sweden,2003,307923,13.0969306,34.1,0.908,331108912605.00,38997,1445
Sweden,2004,309512,13.56539118,35.22,0.896,381705425302.00,44831,1467
Sweden,2005,311063,14.27630494,37.61,0.899,389042298377.00,45563,1466
Sweden,2006,312567,13.95748436,36.47,0.902,420032121656.00,48977,1461
Sweden,2007,314248,13.0487803,32.46,0.905,487816328342.00,56531,1472
Sweden,2008,315606,13.46606965,34.22,0.901,513965650650.00,59155,1477
Sweden,2009,316812,14.18468552,34.41,0.899,429657033108.00,49070,1470
Sweden,2010,318979,12.93192605,31.66,0.905,488377689565.00,55352,1494
Sweden,2011,322530,12.515977,26.66,0.906,563109663291.00,63380,1491
Sweden,2012,327050,12.89542669,33.33,0.908,543880647757.00,60776,1478
Sweden,2013,333073,13.6301968,33.03,0.912,578742001488.00,64133,1470
Sweden,2014,341315,12.59528199,34.87,0.92,573817719109.00,62956,1470
Sweden,2015,341315,12.96831299,33.69,0.929,497918109302.00,54629,1471
Switzerland,2000,184589,20.26554026,82.35,0.889,272055499941.00,39952,1713
Switzerland,2001,188628,19.48777732,84.82,0.891,278631271391.00,40582,1673
Switzerland,2002,197218,20.82970206,82.65,0.891,301416810214.00,43419,1651
Switzerland,2003,198955,18.20844668,74.39,0.896,352914820747.00,50639,1665
Switzerland,2004,203675,18.282353,78.56,0.901,394163688621.00,56123,1695
Switzerland,2005,209040,18.36823605,84.67,0.905,408689353999.00,57790,1690
Switzerland,2006,214630,18.3887649,75.94,0.912,430921192375.00,60536,1679
Switzerland,2007,220706,18.93202498,86.54,0.915,479913034322.00,66807,1669
Switzerland,2008,226861,18.06216602,77.14,0.917,554363487120.00,76202,1659
Switzerland,2009,233232,15.00429489,53.17,0.927,541506500414.00,73529,1651
Switzerland,2010,239990,13.5230558,47.5,0.932,583782977866.00,78474,1624
Switzerland,2011,243790,13.75358471,51.27,0.932,699579638638.00,93053,1619
Switzerland,2012,250132,13.66582271,51.57,0.935,668043614123.00,87951,1603
Switzerland,2013,256661,13.94291969,56.88,0.938,688504173431.00,89634,1583
Switzerland,2014,267638,13.21446969,53.8,0.939,709182559935.00,90809,1575
Switzerland,2015,275569,13.59518186,51.89,0.942,679289166858.00,86068,1589
Turkey,2009,806623,1.591815485,4.09,0.718,644639902581.00,9773,1881
Turkey,2010,841083,2.275471473,7.49,0.734,771901768698.00,11525,1877
Turkey,2011,860492,1.687382744,5.23,0.753,832523681194.00,12237,1864
Turkey,2012,886919,2.102167089,6.54,0.76,873982246102.00,12671,1855
Turkey,2013,915690,2.590141504,8.3,0.771,950579413279.00,13603,1832
United Kingdom,2000,4536556,7.642439439,16.93,0.867,1647951278560.00,29358,1700
United Kingdom,2001,4243590,7.428202188,17.04,0.871,1621510004318.00,29179,1705
United Kingdom,2002,8250038,6.506433608,16.36,0.874,1768408273381.00,31630,1684
United Kingdom,2003,4023648,7.083629249,15.83,0.878,2038395102041.00,36289,1674
United Kingdom,2004,8324962,7.409439704,17.08,0.886,2398555474185.00,42486,1674
United Kingdom,2005,8397155,7.123868208,16.18,0.891,2520701818182.00,44372,1673
United Kingdom,2006,8462315,7.220035883,17.22,0.889,2692612695492.00,47163,1669
United Kingdom,2007,8519029,6.791238699,15.64,0.892,3074359743898.00,53576,1677
United Kingdom,2008,8559778,7.383410249,16.83,0.896,2890564338235.00,50111,1659
United Kingdom,2009,8582671,7.318978655,17.97,0.899,2382825985356.00,41074,1651
United Kingdom,2010,8592781,7.170799559,16.8,0.905,2441173394730.00,41798,1650
United Kingdom,2011,8617712,7.460702833,18.69,0.899,2619700404733.00,44491,1634
United Kingdom,2012,8673006,7.442810193,18.3,0.898,2662085168499.00,44585,1654
United Kingdom,2013,8656572,8.027718527,20.13,0.915,2739818680930.00,45594,1666
United Kingdom,2014,8665195,7.904840513,19.53,0.919,3022827781881.00,49906,1677
United Kingdom,2015,8692440,8.038250679,18.17,0.918,2885570309161.00,47240,1674
United States,2000,6106351,11.1891079,42.4,0.885,10284779000000.00,39218,1834
United States,2001,6285825,11.53120709,40.55,0.887,10621824000000.00,40018,1812
United States,2002,6470864,11.77446492,40.83,0.889,10977514000000.00,40845,1807
United States,2003,6599131,11.61335029,37.87,0.893,11510670000000.00,42468,1797
United States,2004,6726102,11.85302645,37.11,0.895,12274928000000.00,44867,1799
United States,2005,6883241,11.81753372,37.92,0.898,13093726000000.00,47423,1795
United States,2006,6986609,11.93343566,35.7,0.901,13855888000000.00,49666,1798
United States,2007,7056824,12.32671982,36.36,0.905,14477635000000.00,51585,1796
United States,2008,7072366,12.76050642,35.79,0.91,14718582000000.00,52128,1789
United States,2009,7168575,12.93998301,35.6,0.91,14418739000000.00,50563,1763
United States,2010,7263596,13.32758248,36.03,0.914,14964372000000.00,51989,1774
United States,2011,7448796,13.60872153,36.53,0.917,15517926000000.00,53452,1782
United States,2012,7633574,13.86346964,37.37,0.918,16155255000000.00,55170,1785
United States,2013,7816638,13.93153233,38.25,0.916,16691517000000.00,56520,1783
United States,2014,7994948,14.3640766,38.85,0.918,17427609000000.00,58531,1786
United States,2015,8171136,14.72581287,38.81,0.92,18120714000000.00,60387,1786
